card_id,kiosk_name,dormant_proba,risk_level,top_category,trigger,message,bonus_sums,send_day,channel
CARD-14127,REGION-075,0.861,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-09383,REGION-015,0.861,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-12846,REGION-046,0.861,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-06324,REGION-035,0.861,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-12128,REGION-017,0.861,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-06748,REGION-064,0.861,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-06991,REGION-065,0.861,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-09906,REGION-042,0.861,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-16905,REGION-013,0.861,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-16852,REGION-069,0.861,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-09093,REGION-046,0.861,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-10916,REGION-038,0.861,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-08900,REGION-057,0.861,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-03407,REGION-064,0.861,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-01349,REGION-019,0.861,CRITICAL,Трансгран - пополнение,cross_border_offer,Специальный курс на международные переводы!,200,1,push + sms
CARD-17154,REGION-008,0.861,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
